Wed Aug 26 14:44:09 2020    profile/one_dim.out

         4791189 function calls (4776247 primitive calls) in 5.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.017    0.000 /home/mary/mypydmrg/dmrghelpers/operhelper.py:111(create_operator_of_site)
      243    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.016    0.016 /home/mary/mypydmrg/dmrg/dmrg_init.py:68(prepare_rightblockextend)
       41    0.000    0.000    0.016    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:333(multiply)
        1    0.000    0.000    0.016    0.016 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/isolve/__init__.py:1(<module>)
      243    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
       47    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
       47    0.013    0.000    0.016    0.000 {built-in method _imp.create_dynamic}
     3522    0.004    0.000    0.015    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1272(_process_slice)
       89    0.000    0.000    0.015    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/csr.py:328(_get_arrayXslice)
      303    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      303    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      580    0.001    0.000    0.015    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/interface.py:201(matvec)
      105    0.001    0.000    0.015    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:760(nonzero)
    23613    0.010    0.000    0.015    0.000 /home/mary/mypydmrg/fermionic/block.py:216(spin_nums)
      162    0.001    0.000    0.014    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/csr.py:135(transpose)
        1    0.000    0.000    0.014    0.014 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/__init__.py:1(<module>)
   140294    0.014    0.000    0.014    0.000 {built-in method _operator.index}
       18    0.000    0.000    0.014    0.001 /home/mary/mypydmrg/dmrghelpers/operhelper.py:264(update_rightblockextend_oper)
    65231    0.014    0.000    0.014    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:522(max)
    21744    0.008    0.000    0.014    0.000 /home/mary/mypydmrg/fermionic/block.py:368(spin_nums)
       89    0.000    0.000    0.014    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/csc.py:219(_get_sliceXarray)
    19400    0.005    0.000    0.013    0.000 /home/mary/mypydmrg/basics/basis.py:372(iter_sitecode)
      325    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
    12173    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1948    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(sum)
       98    0.001    0.000    0.013    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/csc.py:134(tocsr)
      523    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    74617    0.012    0.000    0.012    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3071(_ndim_dispatcher)
      378    0.001    0.000    0.012    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:13(_broadcast_arrays)
      129    0.002    0.000    0.012    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/dia.py:89(__init__)
       20    0.000    0.000    0.012    0.001 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:389(_add_sparse)
      580    0.001    0.000    0.011    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/interface.py:189(_matvec)
     1948    0.002    0.000    0.011    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2105(sum)
      378    0.000    0.000    0.011    0.000 <__array_function__ internals>:2(broadcast_arrays)
      580    0.001    0.000    0.010    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/interface.py:303(matmat)
     2010    0.003    0.000    0.010    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
        1    0.000    0.000    0.010    0.010 /home/mary/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:1(<module>)
      142    0.000    0.000    0.010    0.000 /usr/lib/python3.8/re.py:287(_compile)
     8711    0.010    0.000    0.010    0.000 {built-in method scipy.sparse._sparsetools.expandptr}
      378    0.002    0.000    0.010    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:204(broadcast_arrays)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.8/tracemalloc.py:502(statistics)
        1    0.000    0.000    0.010    0.010 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/isolve/lgmres.py:4(<module>)
    47/38    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
        1    0.006    0.006    0.009    0.009 /usr/lib/python3.8/tracemalloc.py:451(_group_by)
       26    0.000    0.000    0.009    0.000 /usr/lib/python3.8/re.py:248(compile)
       30    0.000    0.000    0.009    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
  399/398    0.004    0.000    0.009    0.000 {built-in method builtins.__build_class__}
    47/38    0.004    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
     1796    0.009    0.000    0.009    0.000 {built-in method builtins.divmod}
      467    0.000    0.000    0.009    0.000 <__array_function__ internals>:2(append)
      580    0.000    0.000    0.009    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/interface.py:730(_matmat)
        1    0.000    0.000    0.009    0.009 /home/mary/.local/lib/python3.8/site-packages/scipy/linalg/__init__.py:1(<module>)
      580    0.000    0.000    0.009    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:346(dot)
     6555    0.004    0.000    0.009    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:181(isscalarlike)
        1    0.000    0.000    0.009    0.009 /home/mary/.local/lib/python3.8/site-packages/numpy/core/overrides.py:1(<module>)
    19392    0.006    0.000    0.008    0.000 /home/mary/mypydmrg/fermionic/block.py:245(idxpair_to_idx)
        1    0.000    0.000    0.008    0.008 /home/mary/.local/lib/python3.8/site-packages/scipy/fft/__init__.py:1(<module>)
    20644    0.008    0.000    0.008    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/_lib/_util.py:133(_prune_array)
    19400    0.007    0.000    0.008    0.000 /home/mary/mypydmrg/basics/basis.py:377(__add_one)
     6035    0.008    0.000    0.008    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:95(getdtype)
        7    0.000    0.000    0.008    0.001 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:22(extend_leftblock_hamiltonian)
      467    0.002    0.000    0.008    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4616(append)
        8    0.000    0.000    0.008    0.001 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:85(plus_two_hamiltonian)
       65    0.000    0.000    0.007    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/construct.py:219(eye)
        1    0.000    0.000    0.007    0.007 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/index_tricks.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:1(<module>)
     1066    0.001    0.000    0.007    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
        1    0.000    0.000    0.007    0.007 /home/mary/.local/lib/python3.8/site-packages/numpy/random/__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /home/mary/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1(<module>)
      580    0.001    0.000    0.007    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:467(_mul_vector)
      411    0.000    0.000    0.007    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1084(sum_duplicates)
      642    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(cumsum)
        1    0.000    0.000    0.006    0.006 /home/mary/.local/lib/python3.8/site-packages/scipy/_lib/_util.py:1(<module>)
     1621    0.002    0.000    0.006    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:20(upcast)
        1    0.000    0.000    0.006    0.006 /home/mary/.local/lib/python3.8/site-packages/numpy/random/_pickle.py:1(<module>)
     1114    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_internal.py:1(<module>)
       65    0.000    0.000    0.006    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/construct.py:25(spdiags)
       12    0.000    0.000    0.006    0.001 /home/mary/mypydmrg/fermionic/baseop.py:218(add_u_term)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.8/multiprocessing/__init__.py:15(<module>)
     2087    0.006    0.000    0.006    0.000 {built-in method numpy.zeros}
    44681    0.006    0.000    0.006    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:468(can_cast)
        1    0.000    0.000    0.006    0.006 /home/mary/.local/lib/python3.8/site-packages/scipy/fft/_basic.py:1(<module>)
       39    0.001    0.000    0.006    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/coo.py:445(todok)
    12758    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
       30    0.000    0.000    0.006    0.000 /usr/lib/python3.8/sre_parse.py:937(parse)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.8/multiprocessing/context.py:1(<module>)
      136    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(eigh)
    40933    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
      178    0.001    0.000    0.005    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:150(_asindices)
