Mon Aug 17 08:21:21 2020    profile/ladder

         1163977 function calls (1161708 primitive calls) in 64.321 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      615    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/basics/basis.py:239(iter_idx)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:78(Random)
      316    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/overrides.py:124(array_function_dispatch)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       64    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/dmrg/storages.py:167(storage_oper)
        1    0.000    0.000    0.004    0.004 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_add_newdocs.py:1(<module>)
      359    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:643(_is_dunder)
      379    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 /home/mary/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /home/mary/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/mary/.local/lib/python3.8/site-packages/numpy/core/defchararray.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/numeric.py:2446(extend_all)
       21    0.000    0.000    0.005    0.000 /usr/lib/python3.8/sre_parse.py:937(parse)
      294    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      312    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:172(append)
      344    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:249(match)
       40    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/dmrghelpers/operhelper.py:89(create_operator_of_site)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7feb09038670}
      304    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:125(_realType)
      289    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:160(__len__)
        6    0.000    0.000    0.001    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:35(__init__)
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:249(_compile_charset)
      212    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/datetime.py:1(<module>)
      304    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.8/typing.py:1(<module>)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      978    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/block.py:57(spin_nums)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        7    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:20(extend_leftblock_hamiltonian)
        1    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.8/hmac.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        8    0.000    0.000    0.001    0.000 /home/mary/mypydmrg/fermionic/superblock.py:21(__init__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      349    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    27/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       19    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      152    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:200(_assert_stacked_square)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/ctypes/__init__.py:1(<module>)
       30    0.000    0.000    0.001    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:41(<lambda>)
      457    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/lzma.py:38(LZMAFile)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:828(__and__)
      304    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
        1    0.000    0.000    0.001    0.001 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_type_aliases.py:1(<module>)
      136    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:111(__init__)
      394    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      152    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:102(get_linalg_error_extobj)
       19    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_add_newdocs.py:6709(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7feb2828ea60}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:315(DefragResult)
       57    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       71    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/scimath.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:1(<module>)
      152    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:194(_assert_stacked_2d)
       46    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:355(_escape)
       19    0.000    0.000    0.034    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
      534    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/random.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:1(<module>)
      414    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      365    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/baseop.py:34(siteidx)
        1    0.000    0.000    0.006    0.006 /home/mary/.local/lib/python3.8/site-packages/numpy/ma/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_compat_pickle.py:9(<module>)
        1    0.000    0.000    0.001    0.001 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_type_aliases.py:114(_add_aliases)
        1    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/umath.py:1(<module>)
       72    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:423(_simple)
      272    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/baseop.py:29(basis)
       50    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_internal.py:781(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/ma/extras.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/shutil.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/baseop.py:121(add_u_term)
      108    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
